title,category,text
東北で警報級の大雨・暴風の恐れ,国内,関東はきょう6日月夜も雨で傘が手放せないでしょう東北はきょう6日月夜からあす7日火の朝にかけて局地的に土砂降りの雨となりそうです東北ではあす7日火にかけて警報級の暴風が吹く恐れもあります雨だけでなく風にも注意してください
松潤 「重いシーン」から大河撮入,エンタメ, 来年2023年のNHK大河ドラマどうする家康の主演を務める嵐の松本潤38が5日物語の主舞台の一つ愛知県内でクランクインした6日同局が発表した出演決定から約1年半準備を重ねてきたとあり“いよいよ始まったな”という感じですと率直な心境を明かした金色に輝く鎧に身を包んだ姿も初公開初日は家康がまさに“どうする”と揺さぶられるシーンでスタートを切りました“なぜこんな重いシーンからなの”と思うようなシーンでしたと1年以上の長丁場が始まる初日を振り返った写真別カット来年の大河ドラマどうする家康の主演を務める嵐の松本潤の金色に輝く鎧姿を初披露CNHK 物語は徳川家康と名乗る前の若き松平元康時代からスタートクランクイン初日は仕えていた今川義元野村萬斎が桶狭間で討たれた後織田家と今川家のどちらにつくべきか元康が揺れるシーンを撮影した 制作統括の磯智明チーフプロデューサーは松本潤さん演じる青年松平元康のちの徳川家康が身に着けている鎧は金荼美具足今川義元から授けられた金色に輝く鎧も今川と織田のはざまで揺れる中どこか色褪せて見えますまさに“どうする家康”のシーンから撮影は始まりましたと説明した 大河ドラマ62作目リーガルハイデート恋とはどんなものかしらコンフィデンスマンJPなどを生み出した希代のストーリーテラー古沢良太氏が手掛けるオリジナル脚本大河脚本は初挑戦となる乱世を平定し東京の礎となる江戸を築いた家康を単独主役にした大河は1983年徳川家康以来実に40年ぶり令和版にアップデートした新たな家康像を描く 松本は大河ドラマ初出演にして初主演08年の映画隠し砦の三悪人 THE LAST PRINCESS19年のNHK永遠のニシパ北海道と名付けた男 松浦武四郎に続く3度目の本格時代劇となる ▼松本潤 出演が決まってからおよそ1年半所作や馬術などの稽古やスタッフの皆さんとの打ち合わせを重ねてきていよいよ始まったなという感じです初日は家康がまさにどうすると揺さぶられるシーンでスタートを切りましたなぜこんな重いシーンからなのと思うようなシーンでしたが特に物語の前半若き家康にとっては自分の思い通りにならないことばかり憤り悲しんで悔しがる場面が続くと思います家康が周囲からプレッシャーをかけられたりサポートされたりしながら多様な人間関係を築いていったように僕自身もこれから1年以上の撮影の中で共演者の皆さんとの時間を重ねつつ丁寧に作品をつくっていきたいと思います そしてクランクインした愛知県は戦国の世を終わらせた家康公にとって出発の地ともいえる場所です東京から移動する時間がさらに気持ちを高めてくれる感覚もありました家康公という誰もが知る人物を演じるプレッシャーも感じますが地域の皆さんからのパワーを頂いてこの作品ならではの家康像を表現していけたらと思います
ドコモ 一部機種で転売対策を強化,IT, ドコモが2022年6月3日からスマートフォンの転売対策として個装箱に客の名前を記入する取り組みを始めた同社広報部が6日JCASTニュースの取材に明かした■箱に名前を記載させて頂いております ドコモ広報によればiPhoneなど人気機種の割引を受ける条件として個装箱に客の名前を記入するか店舗名を押印する条件を新たに設けた 新品を安く仕入れて高額転売する行為を防ぐ狙いがあり大変心苦しいのですがご利用のために必要としているお客様にできるだけ多く届けるために実施しておりますと理解を求めている 東京都内にある携帯販売店は4日iPhone12とiPhoneSE3を対象に箱に名前を記載させて頂いておりますとSNSで案内している 真にご利用されて二次流通されたいお客様にとって不利益になるのではと社内的な議論もありましたと懸念もあったが新品とは違い中古品は端末の状態が重視されるため影響は限定的と考えていますとしている
東京1013人感染 先週から331人減,地域,新型コロナウイルスについて東京都はきょう新たに1013人の感染を発表しました先週月曜日の1344人から331人減り24日連続で前の週の同じ曜日の感染者数を下回りました 東京都は検査を受けず医師が感染と診断した“みなし陽性”の患者も感染者として発表していて1人が“みなし陽性”の患者でした 新たな感染者のうちワクチンを2回接種していた人は525人で1回も接種をしていない人は250人でした 新型コロナの病床使用率は178で最大で確保できる見込みの5047床に対し899人が入院しているということです またオミクロン株の特性を踏まえた重症者用の病床使用率は36となっています 年代別では▼10代未満が152人▼10代が116人▼20代が183人▼30代が178人▼40代が167人▼50代が103人で重症化リスクの高い65歳以上の高齢者は81人でした 現在入院している感染者のうち東京都の基準で重症者とされる人は2人となっています
仲邑二段 最年少で通算100勝達成,国内, 囲碁の中学生棋士仲邑菫なかむらすみれ二段13が6日東京都千代田区の日本棋院で行われた第41期女流本因坊戦本戦2回戦で加藤啓子六段43に勝ち公式戦通算100勝を達成した13歳3か月での達成は同院では史上最年少これまでの記録は趙治勲名誉名人65の15歳11か月だった動画当時10歳4か月仲邑菫初段が公式戦初勝利を挙げニッコリ
家計が値上げ許容 黒田総裁が見解,経済,日本銀行の黒田東彦総裁は6日東京都内で講演し商品やサービスの値上げが相次いでいることに関連し日本の家計の値上げ許容度も高まってきているとの見解を示したさらに持続的な物価上昇の実現を目指す上で重要な変化と捉えることができると指摘した6月以降の主な値上げリスト食品に光熱費他には家計が値上げを受け入れ始めた背景として黒田総裁はひとつの仮説と断った上で新型コロナウイルス禍による行動制限で蓄積した強制貯蓄が影響していると指摘家計が値上げを受け入れている間に良好なマクロ経済環境をできるだけ維持し賃金の本格上昇につなげていけるかが当面のポイントだと述べ強力な金融緩和を継ける考えを強調した講演中対ドル円相場は1ドル130円台後半で推移黒田総裁は安定的な円安方向の動きであればわが国経済全体にはプラスに作用する可能性が高いとの見解を改めて示した10日には訪日外国人客の受け入れが再開されるこれについて黒田総裁は感染症による強い下押し圧力を受けてきた地方の中小サービス業企業にメリットをもたらすと期待感を示した
給食にカツオやボルシチ 教諭奮闘,地域,長野県諏訪市の諏訪南中学校では自校給食の中で生徒に食育を行っていますしかし食材の価格高騰で献立を考える栄養教諭は苦心の日々おいしくて勉強にもなるユニーク給食を守ろうと奮闘しています
大河 松潤「どうする?」から撮入,エンタメ, 来年2023年のNHK大河ドラマどうする家康の主演を務める嵐の松本潤38が5日物語の主舞台の一つ愛知県内でクランクインした6日同局が発表した出演決定から約1年半準備を重ねてきたとあり“いよいよ始まったな”という感じですと率直な心境を明かした金色に輝く鎧に身を包んだ姿も初公開初日は家康がまさに“どうする”と揺さぶられるシーンでスタートを切りました“なぜこんな重いシーンからなの”と思うようなシーンでしたと1年以上の長丁場が始まる初日を振り返った写真別カット来年の大河ドラマどうする家康の主演を務める嵐の松本潤の金色に輝く鎧姿を初披露CNHK 物語は徳川家康と名乗る前の若き松平元康時代からスタートクランクイン初日は仕えていた今川義元野村萬斎が桶狭間で討たれた後織田家と今川家のどちらにつくべきか元康が揺れるシーンを撮影した 制作統括の磯智明チーフプロデューサーは松本潤さん演じる青年松平元康のちの徳川家康が身に着けている鎧は金荼美具足今川義元から授けられた金色に輝く鎧も今川と織田のはざまで揺れる中どこか色褪せて見えますまさに“どうする家康”のシーンから撮影は始まりましたと説明した 大河ドラマ62作目リーガルハイデート恋とはどんなものかしらコンフィデンスマンJPなどを生み出した希代のストーリーテラー古沢良太氏が手掛けるオリジナル脚本大河脚本は初挑戦となる乱世を平定し東京の礎となる江戸を築いた家康を単独主役にした大河は1983年徳川家康以来実に40年ぶり令和版にアップデートした新たな家康像を描く 松本は大河ドラマ初出演にして初主演08年の映画隠し砦の三悪人 THE LAST PRINCESS19年のNHK永遠のニシパ北海道と名付けた男 松浦武四郎に続く3度目の本格時代劇となる ▼松本潤 出演が決まってからおよそ1年半所作や馬術などの稽古やスタッフの皆さんとの打ち合わせを重ねてきていよいよ始まったなという感じです初日は家康がまさにどうすると揺さぶられるシーンでスタートを切りましたなぜこんな重いシーンからなのと思うようなシーンでしたが特に物語の前半若き家康にとっては自分の思い通りにならないことばかり憤り悲しんで悔しがる場面が続くと思います家康が周囲からプレッシャーをかけられたりサポートされたりしながら多様な人間関係を築いていったように僕自身もこれから1年以上の撮影の中で共演者の皆さんとの時間を重ねつつ丁寧に作品をつくっていきたいと思います そしてクランクインした愛知県は戦国の世を終わらせた家康公にとって出発の地ともいえる場所です東京から移動する時間がさらに気持ちを高めてくれる感覚もありました家康公という誰もが知る人物を演じるプレッシャーも感じますが地域の皆さんからのパワーを頂いてこの作品ならではの家康像を表現していけたらと思います
マダニ引っ張らないで 皮膚切除も,科学, 野山に生息しヒトや動物の血液を吸って生きるマダニ今回はできる限り被害を防ぐ方法をお知らせしたいと思いますぜひ前回の基礎編httpsyomidryomiuricojparticle20220530OYTET50037fromyhも併せてご覧ください写真相田翔子さん メニエール病と付き合っていく
井上尚弥 減量終了は「寂しい」,スポーツ, ボクシングのWBAスーパーIBF世界バンタム級535キロ以下統一王者井上尚弥大橋が7日にさいたまスーパーアリーナでWBC同級王者ノニトドネアフィリピンと3団体王座統一戦Amazon プライムビデオで独占生配信を行う6日は神奈川横浜市内のホテルで前日計量が実施され井上が535キロドネアが534キロでともに一発でクリアムキムキの肉体美を披露し再戦の条件が整った戦績は29歳の井上が22勝19KO39歳のドネアが42勝28KO6敗画像井上尚弥決戦ボディは背中までバキバキ バンタムのボディやないヤバすぎると驚きを呼んだ実際の写真 井上から計量台に乗りリミットでクリア普段は60キロを超える体重を落とし切り両腕で力こぶを作ってアピールしたドネアも01キロアンダーでクリア会場は拍手に包まれたにらみ合いのフェイスオフは約15秒行われドネアがお辞儀をすると井上も会釈で返したともに敬意を持つ間柄ではあるが3日の会見と同様に一度も握手を交わすことなく再戦への緊張感が漂った 両選手の取材は設定されなかったが井上陣営の大橋秀行会長が取材対応報道陣に対し尚弥計量直前に何て言ったと思うと笑うといや寂しいなぁ喉が乾いているこの瞬間が終わってしまうって言っていたんですよ普通は早く飲みたいもの凄く不思議スゲェなって思いますと驚いたそれだけ減量に余裕があり順調に調整が終わった証しだ 2019年11月7日のワールドボクシングスーパーシリーズWBSS決勝以来の再戦当時は井上が判定勝ちし多くの海外メディアから年間最高試合に選ばれた大橋会長は厳しい表情が目立ったドネアについてあそこからグンと戻してくるはずベテランだからと経験値を警戒した 今回のグラブは井上がメキシコ製のレイジェス黒ドネアが米国製のエバーラスト青オレンジを使用レイジェスは綿が薄くパンチがより効くとされており井上のKOが期待される大橋会長によると数種類を試した上で最もフィーリングが合うものを選んだという本人が希望した今の時代はどのメーカーも大差がないと思いますがと明かした 今回勝てばWBO王者ポールバトラー英国との4団体統一戦を狙う両者試合はAmazon プライムビデオにてPrime Video presents Live Boxingの第2弾として独占ライブ配信される
