title,category,article
一橋大の入試流出 中国人の男逮捕,地域, 警視庁は8日一橋大で1月に実施された留学生対象の入試問題を外部に流出させ大学の業務を妨害したとして偽計業務妨害容疑で中国人の20代男を逮捕した捜査関係者への取材で分かった
抗議が殺到 菅前首相の講演中止,国内, 参院選の22日公示が有力視される中県立瀬谷西高校横浜市瀬谷区が公示目前の13日に企画していた自民党の菅義偉前首相衆院2区の講演会について同校は8日中止することを明らかにした菅前首相側が日程の都合で出席できなくなったとしている 県教育委員会と同校が開催を発表した翌日の1日以降中止や延期を求める抗議が電話などで同校に約120件寄せられ業務に支障が生じていた 講演会は来春に瀬谷高校との統合に伴う記念事業として同校が企画地域で植栽に取り組んできた経緯からテーマの一つとして2027年に上瀬谷通信施設跡地で開催予定の国際園芸博覧会が検討されていた菅前首相は自民党の同博覧会推進特命委で特別顧問を務めている 
井上尚弥さん窃盗被害 試合で留守,地域,きのう3団体の王座統一を果たしたプロボクサーの井上尚弥さんがきのう空き巣被害にあっていたことが分かりました自宅からは高級カバンなど十数点が盗まれたということです捜査関係者によりますときのう午後4時半ごろ神奈川県内にある井上尚弥さん29の自宅から家にあった高級カバンや貴金属など十数点が盗まれました自宅周辺では現場から白い車に乗って逃げる男2人組が目撃されていて2人組は玄関のドアをこじ開け侵入したとみられるということです井上さんは昨夜さいたま市で行われたWBCバンタム級王者との試合に勝ち日本人初のバンタム級3団体の王座統一に成功しました犯行はこの試合のために井上さんや家族が家を留守にしている間に行われました警察は窃盗事件として2人組の行方を追っています
フジテレビ番組CPがパワハラ疑い,エンタメ, フジテレビの情報バラエティ番組ポップUP4月から始まったばかりの同番組のスタッフが二度自殺を図ったことが 週刊文春 の取材でわかった関係者によればチーフプロデューサー以下CPX氏によるパワハラの疑いがありフジテレビは労働環境について調査を始めている画像スタッフ間のLINEでA氏を笑いものに
立憲、内閣不信任案を提出,国内,立憲民主党は岸田内閣と細田議長に対する不信任決議案をそれぞれ提出しました他の野党は賛否が分かれる見通しで野党の足並みは乱れたままとなりそうです今回の岸田内閣と細田議長に対する不信任決議案は野党共同ではなく立憲民主党単独での提出となりましたこれまでの不信任案は野党共同で提出しその後の選挙協力に弾みを付けるものが多くみられましたが今回は野党の足並みの乱れが露呈する形となりました立憲民主党西村智奈美 幹事長アベノミクスの失敗による異次元の物価高これはやはり政治がもたらした失敗作特に野党の皆さんからはぜひともご賛同いただきたい2つの不信任案はあすの衆院本会議で採決される予定ですが共産党と社民党は賛成する方針国民民主党は不信任に否定的な考えを示しています一方与党側は自民党茂木敏充幹事長選挙目当てでこの不信任案を出すということでありましたら立憲民主党に対する国民の目これはさらに厳しくなるんじゃないかなと自民党の茂木幹事長は岸田内閣は国民に丁寧な説明に努め高い支持を得ていると強調しました
細田氏 選挙運動員を買収の可能性,国内, 昨年10月31日投開票の衆院選を巡り細田博之衆院議長78が選挙運動を行った多数の地方議員に金銭を支払い公職選挙法に違反する運動員買収を行っている疑いがあることが 週刊文春 の取材でわかった選挙運動費用収支報告書や領収書などを調査したところ11名の地方議員5名の元地方議員が選挙運動を行ったことと金銭の授受を認めた画像地方議員らへの領収書 細田氏は官房長官や自民党幹事長などを歴任し昨年11月に衆院議長に就任した選挙制度に詳しく“選挙博士”を自認しているただ中立の立場が求められる議長でありながら一票の格差是正のための定数10増10減案に異議を唱えたことについては批判の声が上がりました政治部デスク また週刊文春は 5月26日発売号 で女性記者らへのセクハラ発言を重ねていた問題などを報道細田氏は取材に対し回答しなかった一方で事実無根とするコメントを発表している 問題の衆院選で細田氏は島根1区から出馬11回目の当選を果たした対立候補だった立憲民主党亀井亜紀子氏は前回2017年の衆院選で比例復活している今回の衆院選では彼女の比例復活を許さないほど大差で勝つことを目標としていました陣営関係者 細田氏は選挙後島根県選挙管理委員会に選挙運動費用収支報告書を提出それによれば120名を超える人物に労務費を支出しこのうち11名が現職の地方議員だったいずれも公示日である昨年10月19日付で総額は6万5700円情報公開請求で入手した領収書からも支払いが裏付けられた 選挙制度などに詳しい小林良彰慶応大学名誉教授が解説する公職選挙法は民主主義の健全な発達を目的にした法律ですそれだけに金銭の支払いに関しては極めて厳格に定められている報酬の支払いが認められているのはウグイス嬢と呼ばれる車上運動員と事務員手話通訳者などに限られますまた労務費の支払いが認められているのは機械的な単純作業に携わる人物だけです では労務費を受け取った地方議員たちは細田氏への投票を呼び掛けたりはせず機械的な単純作業に携わるだけだったのか
井上尚弥 一夜明け「練習したい」,スポーツ, ボクシングのWBAスーパーIBFWBC世界バンタム級3団体統一王者井上尚弥大橋が8日ノニトドネアフィリピンとの3団体統一戦から一夜明け神奈川横浜市内の所属ジムで会見した前夜はさいたまスーパーアリーナで2回1分24秒TKO勝ちし日本人初の3団体王座統一に成功ファンを熱狂させた試合を振り返りアジア人初の4団体統一の偉業を見据えた画像神の美しさと噂になっていた美人リングガール 井上尚弥VSドネア興行で世界戦初降臨した全身ショット 衝撃の圧勝劇から一夜井上が想いを語った傷一つない爽やかな顔で会見試合後は映像を見返すなどして過ごしたが今何をしたいか問われると練習がしたいですねまぁ休みたいのと半々です本当に練習したい気持ちもあるし次へのモチベーションも高いしこの感覚のまま練習に入りたい今日からでも練習再開は可能な体と笑った 試合は初回のゴング直後ドネアの左フックを右目付近に受けてスイッチオン終了間際に右クロスをテンプルにぶち込み最初のダウンを奪った2回には強烈な左フックを当てロープ際で猛攻反撃を試みる相手に再び左フックを入れぐらりと膝を折らせた連打でコーナーに追いつめとどめの一発も左フック2度目のダウンを奪いライバルを大の字に倒し切った100点をつけられる内容初回にダウンを奪った右は流れで出たパンチ2回はドネアのカウンターに気をつけながら冷静にいけた常々父に行き急ぐな打ち終わりに気をつけろと言われていた昨日の映像を見ても凄く気をつけながらできていた練習で染みついていたものを出せた 2019年11月7日のワールドボクシングスーパーシリーズWBSS決勝以来2年7か月ぶりの再戦陣営の大橋秀行会長や父真吾トレーナーは試合1か月ほど前から抱えていた軽度の故障を心配していたしかし蓋を開ければモンスターの完勝世界に衝撃を走らせる内容だった今回はベストバウトだったそれだけ動きもよかった体力的にも精神的にもダメージを負わずにやれたイメージを消さないように早く練習をやりたい 世界で過去8人アジア人では初の主要4団体統一まであと1つターゲットはドネアと同じ興行会社プロベラムに所属するWBO王者ポールバトラー英国だ年内開催を目指すが難航すれば1階級上のスーパーバンタム級のベルトを狙う方針同級にはWBAスーパーIBF王者ムロジョンアフマダリエフウズベキスタンWBCWBO王者スティーブンフルトン米国の両統一王者が君臨している 井上はひとまず休養に入り状態を見ながら練習を再開するこのバンタム級で本当のNo1を目指したい階級を早く上げろという人もいるけど自分の価値を上げてスーパーバンタム級に上がりたい自分の価値を高めるバンタム級統一を第一目標にしたいまだ強くなりますよピークではないと力強かった
益若つばさ Fukaseと破局報道,エンタメ, 2015年末に交際をスタートさせた益若つばさ36才とSEKAI NO OWARIのボーカルFukase36才が破局したことが分かった写真15枚益若つばさ鎖骨下もざっくりのセパレートで美肌輝く姿他黒Tシャツハット姿のFukaseメンバーで去るセカオワ4人なども
「黒霧島」など15年ぶり値上げへ,経済,霧島酒造は黒霧島など芋焼酎16銘柄を9月1日出荷分から値上げすると発表した主力商品の黒霧島アルコール分251800ミリリットルパックは希望小売価格で1705円が1845円税抜と8引き上げる全体の値上げ幅は2から11程度芋焼酎の値上げは2007年以来15年ぶりで原材料のさつまいもの高騰や包装資材や燃料費のコスト上昇などによる影響としている
抹消中の中田翔 一塁手で中間1位,スポーツ, 日本野球機構NPBは8日7月下旬に行われるマイナビオールスターゲーム2022のファン投票結果中間発表を行い1軍登録を抹消されている中田翔内野手巨人が僅差でセリーグ一塁手部門のトップに浮上した表マイナビオールスターゲーム2022ファン投票中間発表各ポジションの得票数詳細 中田は前日までライアンマクブルーム内野手広島に次ぐ2位だったがこの日の発表では5万8094票を集め248票差でトップに立った中田は今季41試合に出場し打率2155本塁打という打撃不振6日に1軍登録を抹消され今季2度目の2軍調整を送っている またセリーグの抑え投手部門で大勢投手巨人パリーグの捕手部門で松川虎生投手ロッテという2人の新人がトップ2位の倍以上の票を集め独走態勢に入っている松川が選出された場合高卒新人捕手のファン投票での球宴出場は史上初 パリーグの先発投手部門では松川とコンビを組んで4月10日のオリックス戦でプロ野球史上28年ぶりの完全試合を達成した佐々木朗希投手ロッテがトップ12球団最多得票はパリーグ一塁手部門で12万9901票を集めた山川穂高内野手西武 今年の球宴は第1戦は7月26日にPayPayドーム第2戦は27日に坊っちゃんスタジアムで行われる予定となっている
