news_id,title,category,article,img_url,page_url
6430294,給付金詐欺 移送中の容疑者を逮捕,地域,警視庁はインドネシアから日本へ移送中の谷口光弘容疑者47について詐欺の疑いで逮捕しました警視庁によりますと谷口容疑者を移送している飛行機が日本の領空に入ったことを確認したうえで同行している捜査員が機内で逮捕したということで飛行機は夕方に成田空港に到着する予定です谷口容疑者は新型コロナの持続化給付金およそ10億円をだまし取ったとみられる詐欺グループの主犯格とされています,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJu6SLQ0Hjm4rTXshTvF449cpP6tdgTN5-usvGoeurWZ37LtoXKrLGILcQivV-L_F-m_BgfuPyGf9ls72nexlTuaV6XexZ0pF5XmUexTIJ8tmsduhfSDFUHBJ2p17xmG3ZEGIwYBOC37WXyEVzSgIsge5795bBbhEPooll-iYpz4ksJR0SMxawHa0t6Be5dO7V4OomMzjvGAm4OxoTtHACmUI_-cVQkRj8_od4eT6I1bIl2Xy7TqxTi-Tw8uDGyB9_sOTfxG5EAOaUXKwjUUbjzg,https://news.yahoo.co.jp/pickup/6430294
6430291,竹下通り暴走 2審判決も懲役18年,地域,2019年の元日東京原宿の竹下通りで車が暴走し歩行者8人がはねられるなどした事件で東京高裁は22日被告の男側の控訴を退け1審と同様懲役18年としました画像竹下通りに車進入防止ポール 暴走事件受け無職の日下部和博被告は2019年の元日原宿の竹下通りで歩行者8人を車ではね殺害しようとした罪などに問われています日下部被告側は1審判決を不服として控訴していましたが東京高裁は22日の判決で被告側の控訴を退け1審と同様懲役18年としました裁判では1審に続き日下部被告の責任能力が争点となっていましたが東京高裁は完全責任能力があるとした1審の判決に誤りはないと認定しました1審の判決では東京地裁が複数の死者が発生していても何ら不思議でない危険で悪質な行為著名な場所で起こった事件で社会に与えた衝撃も大きく模倣性も高いと指摘していました,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-gtmAQ5Yzw7W8hDpVucTGjePWPh4f3ZokJgueJA06tu-dUz8FwMwa06lGCK54igcttRo8203Ed0rmKEkdBAicbUgIpa1exlL6MjI0T9d_LZbWKnT8Mu_44dan41Vx3zvtQla-Aju4bhh8rjMQnkD2kh,https://news.yahoo.co.jp/pickup/6430291
6430287,若い女性がアームカバー 理由は,経済,蒸し蒸しする暑さの中街で若い女性が着けているのはアームカバー話を聞いてみると画像若い女性で流行しているアームカバールーズソックス風も登場全29枚女性A学校の登下校で着けています――お友達も着けていますか女性A周り着けています3割ぐらい女性B私の周りにも着けている人いっぱいいますアームカバーといえばかつては事務仕事などでシャツの袖の汚れ防止で着けるイメージだったが今や様々な種類が販売されオシャレアイテムに変化している中にはルーズソックスのようなアームカバーまで登場しているユニクロでもユニクロ銀座店スタッフ20代の方からアームカバーどちらですかっていうお問い合わせをすごく受けていてユニクロの陰のヒット商品になっておりますそこで今回は腕にルーズソックス若者がなぜアームカバーをしているのかをココ調さっそく街で調査を開始すると女性C今日初めてこれさっき買ってはやっているから着けようかなと思って女性D一週間くらい前にネットで買いました,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-ib7CR1ToURpHLhIilELETHqWQqzIvKVoVvLpZec7Q91VY2xEzaGgEXNNNIHYvoMh37934yiDa0lXCJqV_4FN_9BeuIKyShuf0IcEJZgGrVzT3MHup5EdCsY1pwT0-6Dtm0YvMu2MZt5XA4fcF6zTNs,https://news.yahoo.co.jp/pickup/6430287
6430285,大谷 9回に劇的15号同点3ラン,スポーツ,■ロイヤルズ 12ー11 エンゼルス日本時間22日アナハイム エンゼルスの大谷翔平投手が21日日本時間22日本拠地で行われたロイヤルズ戦に3番指名打者で先発出場9回の第5打席に同点に追いつく15号3ランを放ったマルチ本塁打は5月29日同30日以来20試合ぶり今季4度目で1試合3安打は8試合ぶり4打数3安打日本人最多の8打点で打率を260としたチームは延長11回の末1112で敗れた実際の映像打った瞬間“全く動かない”大谷翔平土壇場9回に打ち込んだ劇的15号同点3ラン 710の9回1死一二塁から右腕バーロウの内角カーブを完璧に捉えた打った瞬間に悠然と打球の行方を見守った大谷はベンチに向かって力強くガッツポーズして雄たけびを上げた打球速度1135マイル約1827キロ飛距離438フィート約1335メートル打球角度32度の一発だった 初回の第1打席は初球の外角球を中前へ落として2試合連続安打第2打席は高めを打って一ゴロに倒れていたが6回無死一二塁で迎えた第3打席に甘く入ったフォーシームを捉える8試合ぶりの14号3ランこちらも打った瞬間に本塁打を確信する当たりだった第4打席は57の7回1死一三塁から1点差に迫る中犠飛を放った 敗戦濃厚の土壇場で試合を振り出しに戻すと本拠地は大熱狂に包まれた2点を追う延長11回には左犠飛で自己最多8打点の大暴れしかしチームは2連敗を喫した,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-hcnZisiFCo-u918VwZM_to1YJC5U-4rb7ibyxHaWpmC4Jrn80B-PXOTB_JyBgLSSP0XahYXB9qljUzknlrOHWH36ipdise13qpk6sLqYilYm1z_LHK7CdHi0ZiaJTrKm87iDD9gsgnjzd03sVXUOq0,https://news.yahoo.co.jp/pickup/6430285
6430283,木彫りシガールが契機 社長と昼食,IT,SNSでバズった結果有名洋菓子ブランドの社長とランチをすることにーー趣味の木彫りでデパ地下定番ヨックモックのクッキーシガールを作りツイッターに投稿したキボリノコンノさん33その投稿が本家のアカウントにも届いた結果なんと社長に招かれることとなったのです本物のシガールと木彫りのシガールを並べてみると社員も思わず笑ってしまうくらいの完成度でしたwithnews編集部河原夏季画像どっちが本物のシガール答えはコチラ 木彫りで作られた袋も,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-jqLr1EXiFK9YSExgQrF5Y8jJNfvyynG4-u4shTmkLUI3QNRiSRBp-EwbvHEW0xr7jvuMG1zXpiTDQDQPL1T-9oKNub-rubn2N6HwT_GIjH30RXQgLu0oEgndch9ymtct8J2EwBzQRf-CXiKM1VqlJx,https://news.yahoo.co.jp/pickup/6430283
6430279,若者の政治離れ 民主主義守れるか,国内, 政治家の皆さんはそれぞれに日本のことを考えて社会を良くしようとしているはずなのに貶め合うような論争ばかりが目について〝怖い〟イメージです 小誌の取材に応じた早稲田大学の女子学生は日本の政治に対する印象をこう話す彼女の言葉は現代の若者の声を代弁しているとも言える 5593と戦後3番目に低い投票率を記録した昨年10月の衆院選この選挙における10代30代の投票率はいずれも全体平均を1020近く下回り実際に投票した人の割合は10代30代を合わせても全体の2割に満たない下図政治に〝怖さ〟を感じているとすれば若い世代が距離を置くのも不思議ではない30代以下の投票者は20にも満たない 若者の投票率低下や若者の政治離れは何をもたらすのだろうか世代間格差を研究する関東学院大学の島澤諭教授は政治的影響力が強く経済的弱者と見なされがちな高齢世代に向けた政策が優遇される〝シルバーファースト主義〟に陥る可能性が高まると指摘するそれが行き過ぎれば公共施設の維持や教育少子化対策をはじめとする未来への投資の優先順位が相対的に下がり若者世代や将来世代に大きなツケが回ることになる 若者目線での社会の改善が期待できなくなるため多様性が失われ自分と異なる意見を持つ人に対する寛容性の維持も難しくなり民主主義の基盤が揺らぐことになるこう語るのは近代日本の政党政治に詳しい帝京大学の小山俊樹教授だ 政治学が専門の東北大学河村和徳准教授も同様の懸念を示したうえで世界には民主主義的な制度の下で当選したはずの指導者が任期の撤廃や非人道的な弾圧に走るなど権威主義国家に近づく例もあるこうした予兆があるとき若者が積極的に参加していれば長期間抗うことができるつまり独裁政治への抑止力にもなると解説する,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-jGp9FJ0hqNsEi6ELT31cZ-Ubog4B1zFCZKjyL0a2ydH-7V71MGvu-pUgnokPds3q9Jw3NA1NZNQpCoZ-y50vkxeOGhUyIqXDEpTP3hqd9aGSM6b3raS8rXGUgJ7uCJ6Jzj_Coomjn3wngD51F-H7wD,https://news.yahoo.co.jp/pickup/6430279
6430278,ゆるい悲鳴に反響 京都市交通局,IT, 新型コロナウイルスの感染が拡大してから政府で行動制限が設けられその分さまざまな業種に影響が及んでいます画像シュールだけど分かりやすい斬新な見える化を打ち出した策とは イラストの全貌を見る8枚 そんななか京都府京都市内や周辺地域の市バスや地下鉄などの公営交通事業を運営する京都市交通局では経営状況について訴えるとあるイラストが公開されSNSの一部で話題にどういった内容なのでしょうか,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-hdkyvXfudLX1_mSq-WxYZBZ7HbI7lquO4RtOyDSyiaUAjeykrn_-DeUMRgXH_EeUsrcSvYHtDUymmIHkZG1TSm_yb6aBalzJHZy3TZk6o65hMUM-3J6lYkkgsQjtKLt1Ualnlcyn1w7360c2a8xQCX,https://news.yahoo.co.jp/pickup/6430278
6430280,エ軍監督代行が退場処分 球場騒然,スポーツ, エンゼルスロイヤルズ21日アナハイム エンゼルスは七回ネビン監督代行が退場処分を受けた写真ネビン監督代行 大谷3ランの直後に退場処分 大谷翔平投手27が六回に8戦ぶり14号3ラン1点差と迫った直後のイニングで1点を追加されて57なお1死二塁でエンゼルスは投手交代したがマウンドにいたネビン監督代行が審判に何か言葉を発した直後に審判から退場を宣告された その後激怒したネビン監督代行が審判に詰め寄るなどして球場は騒然となった,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-hjgJ137lsUzhnckFFzE7938vjE_wMrYuG93iaiGbLcNwosXdntvoGsewHwbhD1RtxsscGMGbWq_D8eovwJcaApblbi8hWM1SYsNCRe4PXmCR76q5nFiD9nOCEqYmcYulYvY9PwfLGhHUeGgrHV6Yh-,https://news.yahoo.co.jp/pickup/6430280
6430276,マグロ海に捨て 漁獲上限嘆く漁師,地域, 資源管理のため国際規則で漁獲量が制限されている太平洋大型クロマグロ30キロ以上について鹿児島県は県内での定置網漁を22日から年度末まで停止するよう命令した網にかかっても放流しなければならないが生きたまま逃がすのは難しい漁師からは現実的でない本当の意味での資源保護を考えるべきとの声が上がっている写真漁師が示した写真には定置網にかかったマグロが大量に写っている21日南さつま市坊津,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-irPYvCShd_Ztw56J8bt2UPRYvmaNlqD8Hx_3vIojYCNJ_O5NVskUsKJJffRcpSn9wVw80jyltKUwTAhQ44d0VHJEm_UELyGbsNschD7W4KILHDtHi0uoW3rke_fnh9YYoJ88WbMDeqbGIcP4xf_9-p,https://news.yahoo.co.jp/pickup/6430276
6430275,アームカバー 若い女性になぜ人気,経済,蒸し蒸しする暑さの中街で若い女性が着けているのはアームカバー話を聞いてみると画像若い女性で流行しているアームカバールーズソックス風も登場全29枚女性A学校の登下校で着けています――お友達も着けていますか女性A周り着けています3割ぐらい女性B私の周りにも着けている人いっぱいいますアームカバーといえばかつては事務仕事などでシャツの袖の汚れ防止で着けるイメージだったが今や様々な種類が販売されオシャレアイテムに変化している中にはルーズソックスのようなアームカバーまで登場しているユニクロでもユニクロ銀座店スタッフ20代の方からアームカバーどちらですかっていうお問い合わせをすごく受けていてユニクロの陰のヒット商品になっておりますそこで今回は腕にルーズソックス若者がなぜアームカバーをしているのかをココ調さっそく街で調査を開始すると女性C今日初めてこれさっき買ってはやっているから着けようかなと思って女性D一週間くらい前にネットで買いました,https://news-pctr.c.yimg.jp/uUzvQ3lML_bkIqyakc1vFlbRKZtM9u5XWE0uy3m1LJv7Ye_9G32yW5rrfGVQq9-6K9SgPWu4ZRKvoQPvbDOoncMxenzchbpk8lRrkczdP-ib7CR1ToURpHLhIilELETHqWQqzIvKVoVvLpZec7Q91VY2xEzaGgEXNNNIHYvoMh37934yiDa0lXCJqV_4FN_9BeuIKyShuf0IcEJZgGrVzT3MHup5EdCsY1pwT0-6Dtm0YvMu2MZt5XA4fcF6zTNs,https://news.yahoo.co.jp/pickup/6430275
